Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,clasificacion_sku,Margen_Bruto,Brecha_Entrega
TRX-10073,PROD-2138,2025-10-31,13.0,168.88,43.79,29,Devuelto,Bogotá,Físico,Accesorios,123.0,620.31,118.0,5.0,Norte,2024-06-12,Catalogo oficial,-5912.379999999999,24.0
TRX-10074,PROD-2857,2025-04-02,9.0,1681.83,8.32,27,En Camino,Bogotá,Físico,Laptops,1487.0,1308.6,157.0,10.0,BOD-EXT-99,2025-07-12,Catalogo oficial,3350.75,17.0
TRX-10075,PROD-3603,2025-07-12,13.0,1658.86,8.52,9,Perdido,Cali,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10076,PROD-2494,2024-10-23,13.0,650.77,14.02,29,Perdido,Ventas_Web,Físico,Laptops,771.0,1374.18,161.0,3.0,Zona_Franca,2024-10-16,Catalogo oficial,-9418.35,26.0
TRX-10077,PROD-1666,2025-08-18,9.0,604.44,59.8,12,Perdido,Barranquilla,Online,Laptops,1805.0,917.92,121.0,10.0,Zona_Franca,2024-10-05,Catalogo oficial,-2881.119999999997,2.0
TRX-10078,PROD-2516,2025-02-15,8.0,617.14,87.05,2,Perdido,Cali,App,Smartphones,1945.0,1475.27,163.0,10.0,Occidente,2024-12-05,Catalogo oficial,-6952.089999999999,-8.0
TRX-10079,PROD-2455,2025-01-07,8.0,1624.67,29.72,15,,Cali,Online,Monitores,482.0,884.71,173.0,3.0,Norte,2024-04-24,Catalogo oficial,5889.96,12.0
TRX-10080,PROD-1858,2025-09-16,12.0,1664.99,8.22,28,Retrasado,Ventas_Web,App,Tablets,833.0,460.76,181.0,3.0,Zona_Franca,2025-08-10,Catalogo oficial,14442.54,25.0
TRX-10081,PROD-3745,2025-01-10,2.0,666.15,72.32,9,,Ventas_Web,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10082,PROD-2093,2025-06-25,14.0,1189.25,86.26,28,Retrasado,Barranquilla,Físico,Smartphones,1825.0,399.69,140.0,27.5,Norte,2024-10-14,Catalogo oficial,10967.58,0.5
TRX-10083,PROD-3874,2025-04-20,3.0,286.48,18.13,16,Entregado,Bucaramanga,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10084,PROD-3799,2025-02-08,14.0,942.87,51.93,17,Devuelto,Medellín,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10085,PROD-3654,2024-12-17,8.0,1997.6,41.65,20,Entregado,Medellín,WhatsApp,,,,,,,,SKU fantasma - sin inventario,,
TRX-10086,PROD-1292,2024-11-05,13.0,326.09,20.08,27,,Bucaramanga,App,Laptops,736.0,847.31,255.0,10.0,Zona_Franca,2025-08-30,Catalogo oficial,-6795.939999999999,17.0
TRX-10087,PROD-3495,2024-12-13,5.0,1895.65,15.1,23,,Cali,WhatsApp,Sin especificar,832.0,910.57,161.0,0.0,BOD-EXT-99,2024-07-04,Catalogo oficial,4910.299999999999,23.0
TRX-10088,PROD-3600,2024-11-25,7.0,1650.27,66.58,4,Devuelto,Bogotá,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10089,PROD-1700,2025-10-05,14.0,1944.71,96.92,8,Retrasado,Bogotá,Online,Tablets,986.0,858.92,251.0,5.0,Norte,2026-01-14,Catalogo oficial,15104.140000000003,3.0
TRX-10090,PROD-3187,2025-11-14,8.0,367.36,69.43,7,Perdido,Barranquilla,Online,Laptops,557.0,960.64,224.0,5.0,BOD-EXT-99,2025-04-22,Catalogo oficial,-4815.67,2.0
TRX-10091,PROD-3986,2025-08-31,6.0,434.9,98.56,6,Entregado,Cali,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10092,PROD-2002,2025-08-09,5.0,43.57,46.27,5,Devuelto,Bogotá,WhatsApp,Laptops,32.0,65.54,173.0,5.0,BOD-EXT-99,2025-12-31,Catalogo oficial,-156.12000000000003,0.0
TRX-10093,PROD-1669,2024-11-16,8.0,1452.16,90.3,10,En Camino,Barranquilla,App,Smartphones,1704.0,834.62,252.0,27.5,Norte,2025-07-19,Catalogo oficial,4850.02,-17.5
TRX-10094,PROD-2893,2024-12-05,1.0,1291.75,24.48,3,Devuelto,Barranquilla,Físico,Smartphones,1422.0,1372.14,181.0,5.0,Norte,2024-03-18,Catalogo oficial,-104.87000000000012,-2.0
TRX-10095,PROD-2554,2025-09-30,1.0,364.35,16.2,24,Entregado,Medellín,WhatsApp,Accesorios,182.0,583.96,297.0,0.0,Sur,2025-01-07,Catalogo oficial,-235.81000000000006,24.0
TRX-10096,PROD-2105,2025-01-29,1.0,1584.38,52.475,20,Retrasado,Ventas_Web,Online,Accesorios,841.0,204.86,282.0,5.0,Occidente,2024-05-05,Catalogo oficial,1327.045,15.0
TRX-10097,PROD-3621,2025-06-05,3.0,605.4,71.74,24,Perdido,Barranquilla,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10098,PROD-3818,2025-11-18,10.0,278.64,40.28,17,En Camino,Cali,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10099,PROD-3281,2025-05-11,13.0,850.9,35.18,16,Entregado,Medellín,Físico,Smartphones,39.0,1366.25,241.0,0.0,BOD-EXT-99,2024-07-17,Catalogo oficial,-6734.730000000001,16.0
TRX-10100,PROD-1899,2026-02-01,7.0,191.03,68.77,11,Retrasado,Bogotá,WhatsApp,Smartphones,1760.0,1052.9,159.0,5.0,Zona_Franca,2025-04-21,Catalogo oficial,-6101.8600000000015,6.0
TRX-10101,PROD-3804,2025-02-06,12.0,533.85,36.68,13,Devuelto,Medellín,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10102,PROD-2328,2025-09-08,6.0,748.95,59.39,18,Retrasado,Cali,Online,Laptops,1296.0,971.22,150.0,10.0,Norte,2024-07-07,Catalogo oficial,-1393.0099999999993,8.0
TRX-10103,PROD-1229,2025-12-21,6.0,1705.21,33.45,14,Retrasado,Medellín,Físico,Monitores,1260.0,1450.33,111.0,3.0,Norte,2024-07-17,Catalogo oficial,1495.83,11.0
TRX-10104,PROD-1938,2025-10-28,5.0,1587.17,79.46,2,Perdido,Bucaramanga,WhatsApp,Laptops,1390.0,1050.97,231.0,27.5,Norte,2024-03-25,Catalogo oficial,2601.54,-25.5
TRX-10105,PROD-1131,2025-09-12,13.0,891.08,34.68,12,Entregado,Ventas_Web,WhatsApp,Monitores,1572.0,570.85,287.0,10.0,Norte,2025-01-15,Catalogo oficial,4128.31,2.0
TRX-10106,PROD-2292,2025-01-12,13.0,1451.9,55.82,22,,Medellín,Online,Accesorios,926.0,348.67,232.0,5.0,BOD-EXT-99,2025-08-03,Catalogo oficial,14286.170000000002,17.0
TRX-10107,PROD-2643,2026-01-20,14.0,1141.61,7.2,21,Retrasado,Medellín,WhatsApp,Tablets,223.0,687.37,208.0,10.0,Occidente,2025-06-20,Catalogo oficial,6352.159999999998,11.0
TRX-10108,PROD-2096,2025-07-27,7.0,688.28,52.475,29,Devuelto,Bucaramanga,Online,Tablets,650.0,321.33,195.0,10.0,Zona_Franca,2025-11-03,Catalogo oficial,2516.175,19.0
TRX-10109,PROD-1271,2025-02-15,5.0,1454.49,80.21,26,Devuelto,Medellín,App,Sin especificar,253.0,1393.37,242.0,0.0,Sur,2025-06-04,Catalogo oficial,225.39000000000033,26.0
TRX-10110,PROD-1864,2025-12-13,14.0,1370.16,63.93,10,Perdido,Medellín,Físico,Accesorios,1733.0,1208.05,176.0,5.0,Sur,2025-02-03,Catalogo oficial,2205.6100000000006,5.0
TRX-10111,PROD-3323,2024-10-25,2.0,1242.0,23.26,29,Retrasado,Barranquilla,App,Sin especificar,1044.0,958.91,129.0,0.0,Sur,2025-10-04,Catalogo oficial,542.9200000000001,29.0
TRX-10112,PROD-3940,2025-06-09,4.0,1239.73,25.46,7,Devuelto,Bogotá,App,,,,,,,,SKU fantasma - sin inventario,,
TRX-10113,PROD-2288,2024-12-18,1.0,1369.13,29.94,2,,Bogotá,App,Accesorios,1795.0,1075.55,164.0,10.0,BOD-EXT-99,2024-06-11,Catalogo oficial,263.6400000000001,-8.0
TRX-10114,PROD-1870,2025-08-19,7.0,775.25,59.77,25,Devuelto,Bogotá,Online,Monitores,723.0,868.66,132.0,0.0,Norte,2025-09-09,Catalogo oficial,-713.6400000000003,25.0
TRX-10115,PROD-3684,2025-12-02,4.0,1739.46,57.09,18,Perdido,Bucaramanga,Físico,,,,,,,,SKU fantasma - sin inventario,,
TRX-10116,PROD-3044,2025-06-14,13.0,332.99,31.02,17,Retrasado,Medellín,App,Sin especificar,1207.0,1389.41,151.0,5.0,Norte,2025-08-25,Catalogo oficial,-13764.480000000003,12.0
TRX-10117,PROD-2620,2025-08-08,4.0,1768.93,70.94,16,Perdido,Bucaramanga,Online,Monitores,136.0,826.54,218.0,10.0,BOD-EXT-99,2024-09-05,Catalogo oficial,3698.6200000000003,6.0
TRX-10118,PROD-3633,2024-10-22,13.0,691.14,89.46,2,Retrasado,Medellín,WhatsApp,,,,,,,,SKU fantasma - sin inventario,,
TRX-10119,PROD-2879,2025-10-19,4.0,258.81,9.13,11,Devuelto,Cali,App,Laptops,1032.0,1399.47,270.0,0.0,Sur,2025-03-21,Catalogo oficial,-4571.77,11.0
TRX-10120,PROD-1585,2025-05-12,3.0,1204.05,52.475,19,,Cali,Online,Smartphones,1987.0,990.71,101.0,10.0,BOD-EXT-99,2025-08-02,Catalogo oficial,587.5449999999996,9.0
TRX-10121,PROD-2084,2025-10-16,8.0,758.21,44.63,22,Entregado,Ventas_Web,Online,Laptops,1440.0,551.09,176.0,27.5,Zona_Franca,2025-03-27,Catalogo oficial,1612.33,-5.5
TRX-10122,PROD-1571,2024-12-07,4.0,1632.84,61.38,7,Devuelto,Bucaramanga,Online,Smartphones,1618.0,1496.74,292.0,10.0,Norte,2025-07-30,Catalogo oficial,483.0199999999995,-3.0
TRX-10123,PROD-2010,2025-12-13,8.0,867.26,60.71,27,Entregado,Barranquilla,Online,Monitores,736.0,1325.88,205.0,3.0,Norte,2025-09-06,Catalogo oficial,-3729.67,24.0
TRX-10124,PROD-3299,2025-01-29,9.0,1340.44,6.86,22,Retrasado,Ventas_Web,Físico,Sin especificar,925.0,257.44,199.0,0.0,Zona_Franca,2024-10-22,Catalogo oficial,9740.140000000001,22.0
TRX-10125,PROD-3207,2025-06-20,1.0,623.43,25.0,17,Retrasado,Barranquilla,WhatsApp,Accesorios,1064.0,763.93,100.0,27.5,Occidente,2025-08-19,Catalogo oficial,-165.5,-10.5
TRX-10126,PROD-2076,2024-12-20,4.0,426.81,10.87,15,En Camino,Cali,Online,Laptops,1334.0,1481.0,122.0,3.0,Norte,2026-01-07,Catalogo oficial,-4227.63,12.0
TRX-10127,PROD-3394,2026-01-01,6.0,782.22,59.05,9,Retrasado,Barranquilla,App,Monitores,1882.0,567.01,176.0,27.5,Norte,2024-05-09,Catalogo oficial,1232.2099999999996,-18.5
TRX-10128,PROD-2754,2025-11-18,8.0,1217.55,66.31,12,Retrasado,Medellín,WhatsApp,Monitores,956.0,1273.53,100.0,0.0,Zona_Franca,2025-06-25,Catalogo oficial,-514.1499999999996,12.0
TRX-10129,PROD-3390,2025-03-11,14.0,1317.32,20.18,8,En Camino,Ventas_Web,Físico,Tablets,0.0,100.98,231.0,3.0,Sur,2024-04-23,Catalogo oficial,17008.579999999998,5.0
TRX-10130,PROD-2635,2025-01-28,6.0,1160.63,36.64,28,Entregado,Bogotá,App,Smartphones,1411.0,459.7,116.0,10.0,BOD-EXT-99,2025-02-28,Catalogo oficial,4168.9400000000005,18.0
TRX-10131,PROD-2482,2025-03-15,12.0,1976.23,36.33,2,Retrasado,Medellín,WhatsApp,Laptops,1955.0,239.01,290.0,3.0,Norte,2024-06-20,Catalogo oficial,20810.31,-1.0
TRX-10132,PROD-1898,2025-12-03,6.0,1385.27,53.06,17,Perdido,Bucaramanga,WhatsApp,Smartphones,1731.0,1160.5,108.0,0.0,Sur,2025-03-18,Catalogo oficial,1295.5599999999986,17.0
TRX-10133,PROD-1566,2024-10-18,10.0,1863.72,82.88,16,Retrasado,Medellín,Físico,Tablets,1389.0,139.95,238.0,5.0,Norte,2025-06-30,Catalogo oficial,17154.82,11.0
TRX-10134,PROD-3087,2024-11-22,4.0,244.69,23.49,23,Retrasado,Bogotá,App,Laptops,1046.0,422.87,260.0,27.5,Occidente,2024-09-26,Catalogo oficial,-736.21,-4.5
